FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Economica,15/03/2019,25/03/2019,LPA,TFN,NT,NT183,19:30,20:00,1.50,2.75,55.75,54.25,,1.50,2.75,16.00,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,LPA,TFN,NT,NT183,19:30,20:00,1.50,2.75,43.75,42.25,,1.50,2.75,13.00,,8.75,30.75,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,TFN,NT,NT191,20:00,20:30,0,2.75,80.75,80.75,,0,2.75,22.25,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,LPA,TFN,NT,NT191,20:00,20:30,1.50,2.75,71.75,70.25,,1.50,2.75,20.00,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,LPA,TFN,NT,NT191,20:00,20:30,1.50,2.75,55.75,54.25,,1.50,2.75,16.00,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,LPA,TFN,NT,NT191,20:00,20:30,1.50,2.75,43.75,42.25,,1.50,2.75,13.00,,8.75,30.75,,,,€
Superpromo,15/03/2019,25/03/2019,LPA,TFN,NT,NT191,20:00,20:30,1.50,2.75,40.75,39.25,,1.50,2.75,12.25,,8.00,28.5,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,TFS,NT,NT155,07:00,07:40,0,2.75,92.75,92.75,,0,2.75,25.25,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,LPA,TFS,NT,NT155,07:00,07:40,0,2.75,74.75,74.75,,0,2.75,20.75,,18.00,54.0,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,TFS,NT,NT123,10:00,10:40,0,2.75,92.75,92.75,,0,2.75,25.25,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,LPA,TFS,NT,NT123,10:00,10:40,0,2.75,74.75,74.75,,0,2.75,20.75,,18.00,54.0,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,TFS,NT,NT151,14:15,14:55,0,2.75,92.75,92.75,,0,2.75,25.25,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,LPA,TFS,NT,NT151,14:15,14:55,0,2.75,74.75,74.75,,0,2.75,20.75,,18.00,54.0,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,TFS,NT,NT125,18:00,18:40,0,2.75,92.75,92.75,,0,2.75,25.25,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,LPA,TFS,NT,NT125,18:00,18:40,0,2.75,74.75,74.75,,0,2.75,20.75,,18.00,54.0,,,,€
Economica,15/03/2019,25/03/2019,LPA,TFS,NT,NT125,18:00,18:40,1.50,2.75,62.75,61.25,,1.50,2.75,17.75,,13.50,45.0,,,,€
Promo,15/03/2019,25/03/2019,LPA,TFS,NT,NT125,18:00,18:40,1.50,2.75,58.75,57.25,,1.50,2.75,16.75,,12.50,42.0,,,,€
FlexiMas,15/03/2019,25/03/2019,LPA,VDE,NT,NT365,15:20,16:15,0,2.75,134.75,134.75,,0,2.75,35.75,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,LPA,VDE,NT,NT365,15:20,16:15,0,2.75,108.75,108.75,,0,2.75,29.25,,26.50,79.5,,,,€
Economica,15/03/2019,25/03/2019,LPA,VDE,NT,NT365,15:20,16:15,1.50,2.75,88.75,87.25,,1.50,2.75,24.25,,20.00,64.5,,,,€
Promo,15/03/2019,25/03/2019,LPA,VDE,NT,NT365,15:20,16:15,1.50,2.75,82.75,81.25,,1.50,2.75,22.75,,18.50,60.0,,,,€
FlexiMas,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,672.90,669.9,,3.00,10.90,176.40,,162.50,496.5,,,,€
Flexible,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,592.90,589.9,,3.00,10.90,156.40,,142.50,436.5,,,,€
Economica,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,442.90,439.9,,3.00,10.90,118.90,,105.00,324.0,,,,€
Promo,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,272.90,269.9,,3.00,10.90,76.40,,62.50,196.49,,,,€
Superpromo,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,152.90,149.9,,3.00,10.90,46.40,,32.50,106.5,,,,€
FlexiMas,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,672.90,669.9,,3.00,10.90,176.40,,162.50,496.5,,,,€
Flexible,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,592.90,589.9,,3.00,10.90,156.40,,142.50,436.5,,,,€
Economica,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,442.90,439.9,,3.00,10.90,118.90,,105.00,324.0,,,,€
Promo,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,272.90,269.9,,3.00,10.90,76.40,,62.50,196.49,,,,€
Superpromo,15/03/2019,25/03/2019,PMI,LPA,NT,NT5101,16:20,18:40,3.00,10.90,152.90,149.9,,3.00,10.90,46.40,,32.50,106.5,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT604,08:00,08:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT604,08:00,08:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT606,08:30,09:00,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT606,08:30,09:00,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT608,09:00,09:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT608,09:00,09:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT608,09:00,09:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT608,09:00,09:30,1.50,2.03,54.03,52.53,,1.50,2.03,15.03,,11.50,39.0,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT612,10:00,10:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT612,10:00,10:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT612,10:00,10:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT612,10:00,10:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT612,10:00,10:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT610,11:00,11:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT610,11:00,11:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT610,11:00,11:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT610,11:00,11:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT610,11:00,11:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT618,12:00,12:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT618,12:00,12:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT618,12:00,12:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT618,12:00,12:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT622,14:00,14:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT622,14:00,14:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT622,14:00,14:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT622,14:00,14:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT622,14:00,14:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT632,16:00,16:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT632,16:00,16:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT632,16:00,16:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT632,16:00,16:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT632,16:00,16:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT634,17:00,17:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT634,17:00,17:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT634,17:00,17:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT634,17:00,17:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT634,17:00,17:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT636,18:00,18:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT636,18:00,18:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT636,18:00,18:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT636,18:00,18:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT636,18:00,18:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,SPC,TFN,NT,NT638,19:00,19:30,0,2.03,84.03,84.03,,0,2.03,22.53,,20.50,61.5,,,,€
Flexible,15/03/2019,25/03/2019,SPC,TFN,NT,NT638,19:00,19:30,1.50,2.03,74.03,72.53,,1.50,2.03,20.03,,16.50,54.0,,,,€
Economica,15/03/2019,25/03/2019,SPC,TFN,NT,NT638,19:00,19:30,1.50,2.03,58.03,56.53,,1.50,2.03,16.03,,12.50,42.0,,,,€
Promo,15/03/2019,25/03/2019,SPC,TFN,NT,NT638,19:00,19:30,1.50,2.03,44.03,42.53,,1.50,2.03,12.53,,9.00,31.5,,,,€
Superpromo,15/03/2019,25/03/2019,SPC,TFN,NT,NT638,19:00,19:30,1.50,2.03,41.03,39.53,,1.50,2.03,11.78,,8.25,29.25,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,ACE,NT,NT452,07:00,07:50,0,2.47,134.47,134.47,,0,2.47,35.47,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,TFN,ACE,NT,NT452,07:00,07:50,1.50,2.47,114.47,112.97,,1.50,2.47,30.47,,26.50,84.0,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,ACE,NT,NT468,10:00,10:50,0,2.47,134.47,134.47,,0,2.47,35.47,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,TFN,ACE,NT,NT468,10:00,10:50,1.50,2.47,114.47,112.97,,1.50,2.47,30.47,,26.50,84.0,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,ACE,NT,NT454,12:50,13:40,0,2.47,134.47,134.47,,0,2.47,35.47,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,TFN,ACE,NT,NT454,12:50,13:40,1.50,2.47,114.47,112.97,,1.50,2.47,30.47,,26.50,84.0,,,,€
Economica,15/03/2019,25/03/2019,TFN,ACE,NT,NT454,12:50,13:40,1.50,2.47,88.47,86.97,,1.50,2.47,23.97,,20.00,64.5,,,,€
Promo,15/03/2019,25/03/2019,TFN,ACE,NT,NT454,12:50,13:40,1.50,2.47,72.47,70.97,,1.50,2.47,19.97,,16.00,52.5,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,ACE,NT,NT470,14:00,14:50,0,2.47,134.47,134.47,,0,2.47,35.47,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,TFN,ACE,NT,NT470,14:00,14:50,1.50,2.47,114.47,112.97,,1.50,2.47,30.47,,26.50,84.0,,,,€
Economica,15/03/2019,25/03/2019,TFN,ACE,NT,NT470,14:00,14:50,1.50,2.47,88.47,86.97,,1.50,2.47,23.97,,20.00,64.5,,,,€
Promo,15/03/2019,25/03/2019,TFN,ACE,NT,NT470,14:00,14:50,1.50,2.47,72.47,70.97,,1.50,2.47,19.97,,16.00,52.5,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,ACE,NT,NT474,17:20,18:10,0,2.47,134.47,134.47,,0,2.47,35.47,,33.00,99.0,,,,€
Flexible,15/03/2019,25/03/2019,TFN,ACE,NT,NT474,17:20,18:10,1.50,2.47,114.47,112.97,,1.50,2.47,30.47,,26.50,84.0,,,,€
Economica,15/03/2019,25/03/2019,TFN,ACE,NT,NT474,17:20,18:10,1.50,2.47,88.47,86.97,,1.50,2.47,23.97,,20.00,64.5,,,,€
Promo,15/03/2019,25/03/2019,TFN,ACE,NT,NT474,17:20,18:10,1.50,2.47,82.47,80.97,,1.50,2.47,22.47,,18.50,60.0,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,FUE,NT,NT414,07:10,08:00,0,2.47,128.47,128.47,,0,2.47,33.97,,31.50,94.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,FUE,NT,NT414,07:10,08:00,1.50,2.47,109.47,107.97,,1.50,2.47,29.22,,25.25,80.25,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,FUE,NT,NT422,10:00,10:50,0,2.47,128.47,128.47,,0,2.47,33.97,,31.50,94.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,FUE,NT,NT422,10:00,10:50,1.50,2.47,109.47,107.97,,1.50,2.47,29.22,,25.25,80.25,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,FUE,NT,NT420,14:20,15:10,0,2.47,128.47,128.47,,0,2.47,33.97,,31.50,94.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,FUE,NT,NT420,14:20,15:10,1.50,2.47,109.47,107.97,,1.50,2.47,29.22,,25.25,80.25,,,,€
Economica,15/03/2019,25/03/2019,TFN,FUE,NT,NT420,14:20,15:10,1.50,2.47,84.47,82.97,,1.50,2.47,22.97,,19.00,61.5,,,,€
Promo,15/03/2019,25/03/2019,TFN,FUE,NT,NT420,14:20,15:10,1.50,2.47,64.47,62.97,,1.50,2.47,17.97,,14.00,46.5,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,FUE,NT,NT428,19:10,20:00,0,2.47,128.47,128.47,,0,2.47,33.97,,31.50,94.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,FUE,NT,NT428,19:10,20:00,1.50,2.47,109.47,107.97,,1.50,2.47,29.22,,25.25,80.25,,,,€
Economica,15/03/2019,25/03/2019,TFN,FUE,NT,NT428,19:10,20:00,1.50,2.47,84.47,82.97,,1.50,2.47,22.97,,19.00,61.5,,,,€
Promo,15/03/2019,25/03/2019,TFN,FUE,NT,NT428,19:10,20:00,1.50,2.47,64.47,62.97,,1.50,2.47,17.97,,14.00,46.5,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,GMZ,NT,NT651,09:30,10:00,0,2.47,92.47,92.47,,0,2.47,24.97,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,GMZ,NT,NT651,09:30,10:00,0,2.47,74.47,74.47,,0,2.47,20.47,,18.00,54.0,,,,€
Economica,15/03/2019,25/03/2019,TFN,GMZ,NT,NT651,09:30,10:00,1.50,2.47,62.47,60.97,,1.50,2.47,17.47,,13.50,45.0,,,,€
Promo,15/03/2019,25/03/2019,TFN,GMZ,NT,NT651,09:30,10:00,1.50,2.47,51.47,49.97,,1.50,2.47,14.72,,10.75,36.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,GMZ,NT,NT653,17:00,17:30,0,2.47,92.47,92.47,,0,2.47,24.97,,22.50,67.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,GMZ,NT,NT653,17:00,17:30,0,2.47,74.47,74.47,,0,2.47,20.47,,18.00,54.0,,,,€
Economica,15/03/2019,25/03/2019,TFN,GMZ,NT,NT653,17:00,17:30,1.50,2.47,62.47,60.97,,1.50,2.47,17.47,,13.50,45.0,,,,€
Promo,15/03/2019,25/03/2019,TFN,GMZ,NT,NT653,17:00,17:30,1.50,2.47,58.47,56.97,,1.50,2.47,16.47,,12.50,42.0,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT106,07:00,07:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT106,07:00,07:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT100,07:30,08:00,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT100,07:30,08:00,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT102,08:00,08:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT102,08:00,08:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT104,08:30,09:00,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT104,08:30,09:00,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT108,09:00,09:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT108,09:00,09:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT112,09:30,10:00,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT112,09:30,10:00,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT112,09:30,10:00,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT120,10:00,10:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT120,10:00,10:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT120,10:00,10:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,TFN,LPA,NT,NT120,10:00,10:30,1.50,2.47,43.47,41.97,,1.50,2.47,12.72,,8.75,30.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT110,11:30,12:00,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT110,11:30,12:00,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT110,11:30,12:00,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,TFN,LPA,NT,NT110,11:30,12:00,1.50,2.47,43.47,41.97,,1.50,2.47,12.72,,8.75,30.75,,,,€
Superpromo,15/03/2019,25/03/2019,TFN,LPA,NT,NT110,11:30,12:00,1.50,2.47,40.47,38.97,,1.50,2.47,11.97,,8.00,28.5,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT134,13:00,13:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT134,13:00,13:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT134,13:00,13:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT116,13:30,14:00,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT116,13:30,14:00,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT116,13:30,14:00,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT158,14:00,14:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT158,14:00,14:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT158,14:00,14:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT160,15:00,15:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT160,15:00,15:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT160,15:00,15:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT166,16:00,16:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT166,16:00,16:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT166,16:00,16:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,TFN,LPA,NT,NT166,16:00,16:30,1.50,2.47,43.47,41.97,,1.50,2.47,12.72,,8.75,30.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT170,17:00,17:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT170,17:00,17:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT170,17:00,17:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT178,18:00,18:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT178,18:00,18:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT178,18:00,18:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
Promo,15/03/2019,25/03/2019,TFN,LPA,NT,NT178,18:00,18:30,1.50,2.47,43.47,41.97,,1.50,2.47,12.72,,8.75,30.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT186,19:00,19:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT186,19:00,19:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
Economica,15/03/2019,25/03/2019,TFN,LPA,NT,NT186,19:00,19:30,1.50,2.47,55.47,53.97,,1.50,2.47,15.72,,11.75,39.75,,,,€
FlexiMas,15/03/2019,25/03/2019,TFN,LPA,NT,NT188,20:00,20:30,0,2.47,80.47,80.47,,0,2.47,21.97,,19.50,58.5,,,,€
Flexible,15/03/2019,25/03/2019,TFN,LPA,NT,NT188,20:00,20:30,1.50,2.47,71.47,69.97,,1.50,2.47,19.72,,15.75,51.75,,,,€
